protocol,scheme,checkpointing,file_size,chunk_size,total_chunks,channel,disruptions_configured,disruption_duration_s,completed,integrity_ok,corrupted,attempts,total_time_s,handshake_time_s,recovery_times_s,payload_bytes_sent,kex_wire_bytes,kex_cpu_ms,checkpoint_writes,checkpoint_bytes,checkpoint_overhead_ms,resumed_from_chunks,goodput_mbps,retransmission_overhead_pct,wasted_bytes,mean_recovery_s,max_recovery_s,repeat
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.5707149579998259,0.0590541999999914,0.4409,6949890,4544,16.024535999804357,0,0,0.0,,21.3625,65.698,2755586,0.4409,0.4409,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.540304204999984,0.049715178000042215,0.4335,6753195,4544,12.37709699989864,0,0,0.0,,21.7843,61.009,2558891,0.4335,0.4335,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.5483824000000368,0.049002759000131846,0.4319,6753195,4544,11.337009000044418,0,0,0.0,,21.6706,61.009,2558891,0.4319,0.4319,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.2100139780000063,0.024158258000170463,0.4200,4851810,128,0.4516440001225419,10,4718,16.187815999956,32,27.7306,15.676,657506,0.42,0.42,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.2080383269999402,0.021580167999900368,0.4195,4786245,128,0.3328200000396464,10,4719,16.29177599988907,32,27.776,14.113,591941,0.4195,0.4195,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.2128470699999525,0.022395597000013368,0.4192,4851810,128,0.29506399982892617,10,4715,17.175189999989016,32,27.6658,15.676,657506,0.4192,0.4192,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.2302125290000276,0.055648792000056346,0.4362,4786245,4544,11.7887310000242,10,4704,16.833182999789642,32,27.2753,14.113,591941,0.4362,0.4362,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.2289128029999574,0.053007062000006044,0.4363,4786245,4544,11.841265999919415,10,4709,18.76566000009916,32,27.3042,14.113,591941,0.4363,0.4363,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d1x0.3s,1,0.3,True,True,False,5,1.228422996000063,0.0504376220001177,0.4331,4655115,4544,11.82458400012365,9,4238,15.382475000251361,32,27.315,10.987,460811,0.4331,0.4331,2
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,2.1607050729999173,0.02968909499986694,1.0598,6949890,128,0.3417410000565724,0,0,0.0,,15.5294,65.698,2755586,1.0598,1.0598,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,2.168092708000131,0.02691030799996952,1.0594,6753195,128,0.2763859999959095,0,0,0.0,,15.4765,61.009,2558891,1.0594,1.0594,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,2.204488612999967,0.03037165300020206,1.0613,6949890,128,0.31598600003235333,0,0,0.0,,15.221,65.698,2755586,1.0613,1.0613,2
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,2.192501231000051,0.052069547000201055,1.0658,6884325,4544,12.404859000071156,0,0,0.0,,15.3042,64.135,2690021,1.0658,1.0658,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,2.1764765870000247,0.05610840099984671,1.0745,6753195,4544,15.750574000321649,0,0,0.0,,15.4169,61.009,2558891,1.0745,1.0745,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,2.1743210520000957,0.04977168899995377,1.0665,6753195,4544,11.3925890000246,0,0,0.0,,15.4321,61.009,2558891,1.0665,1.0665,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,1.8344215790000362,0.024066083000207072,1.0542,4851810,128,0.29196699983913277,10,4714,19.482623000158128,32,18.2916,15.676,657506,1.0542,1.0542,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,1.8352056100000027,0.02363187899982222,1.0558,4851810,128,0.31144400008997764,10,4716,18.668488999992405,32,18.2837,15.676,657506,1.0558,1.0558,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,1.850139800000079,0.02238783500001773,1.0536,4851810,128,0.3634819997841987,10,4714,18.058500999586613,32,18.1362,15.676,657506,1.0536,1.0536,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,1.8642671749998954,0.06019267200008471,1.0731,4655115,4544,12.684139999919353,9,4237,20.05881099967155,32,17.9987,10.987,460811,1.0731,1.0731,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,1.8606803479999598,0.055614630000036414,1.0720,4655115,4544,11.429872999997315,9,4236,20.012534999523268,32,18.0334,10.987,460811,1.072,1.072,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d1x1.0s,1,1.0,True,True,False,7,1.8695222179999291,0.054007036999792035,1.0681,4655115,4544,12.336736999714049,9,4234,19.172730000263982,32,17.9481,10.987,460811,1.0681,1.0681,2
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.5453032389998498,0.028687006999916775,0.4253,6949890,128,0.3475589999197837,0,0,0.0,,21.7138,65.698,2755586,0.4253,0.4253,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.5321839999999156,0.026865142999895397,0.4248,6949890,128,0.33855699984997045,0,0,0.0,,21.8997,65.698,2755586,0.4248,0.4248,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.5330805270000383,0.03052165999997669,0.4276,6949890,128,0.4073999998581712,0,0,0.0,,21.8869,65.698,2755586,0.4276,0.4276,2
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.539856742999973,0.05008723600008125,0.4317,6884325,4544,11.453912999968452,0,0,0.0,,21.7906,64.135,2690021,0.4317,0.4317,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.5693862279999848,0.05039615700025024,0.4344,6884325,4544,11.369958999921437,0,0,0.0,,21.3806,64.135,2690021,0.4344,0.4344,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.5368990360000225,0.04999617699991177,0.4325,6753195,4544,11.770922999858158,0,0,0.0,,21.8326,61.009,2558891,0.4325,0.4325,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.2345482270000048,0.023876741000094626,0.4202,4851810,128,0.26495800011616666,10,4718,17.885961000047246,32,27.1795,15.676,657506,0.4202,0.4202,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.2221778100001757,0.023238077999849338,0.4215,4917375,128,0.272637999842118,10,4719,18.52921400040941,32,27.4546,17.239,723071,0.4215,0.4215,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.21187473100008,0.0225743229998443,0.4198,4851810,128,0.27775299986387836,10,4717,16.97843800047849,32,27.688,15.676,657506,0.4198,0.4198,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.2195422350000626,0.05473493799991047,0.4355,4851810,4544,11.76010199992561,10,4706,18.885251000028802,32,27.514,15.676,657506,0.4355,0.4355,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.2364757899999859,0.05461675500009733,0.4386,4655115,4544,13.883726999665669,9,4233,15.993416999890542,32,27.1372,10.987,460811,0.4386,0.4386,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x0.3s,2,0.3,True,True,False,5,1.2162457619999714,0.05129006200013464,0.4333,4655115,4544,11.671509000279912,9,4238,19.502192999652834,32,27.5885,10.987,460811,0.4333,0.4333,2
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,2.1739784569999756,0.02875841200011564,1.0591,6949890,128,0.28747800001838186,0,0,0.0,,15.4346,65.698,2755586,1.0591,1.0591,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,2.1677856389999306,0.028053096999883564,1.0601,6949890,128,0.2866760003144009,0,0,0.0,,15.4787,65.698,2755586,1.0601,1.0601,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,2.177306162999912,0.02724619600007827,1.0587,6949890,128,0.2847230002771539,0,0,0.0,,15.411,65.698,2755586,1.0587,1.0587,2
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,2.166528226000082,0.05288775300005,1.0652,6753195,4544,14.711421000129121,0,0,0.0,,15.4877,61.009,2558891,1.0652,1.0652,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,2.1644450799999504,0.04669639799999459,1.0647,6753195,4544,11.419472999932623,0,0,0.0,,15.5026,61.009,2558891,1.0647,1.0647,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,2.1658648640000138,0.0501009710001199,1.0669,6753195,4544,11.935280999978204,0,0,0.0,,15.4924,61.009,2558891,1.0669,1.0669,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,1.8352453939999123,0.02354204900007062,1.0538,4851810,128,0.27299300018057693,10,4717,15.657377999559685,32,18.2833,15.676,657506,1.0538,1.0538,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,1.8372554170000512,0.023664849000169852,1.0557,4851810,128,0.31066100018506404,10,4718,18.363355000246884,32,18.2633,15.676,657506,1.0557,1.0557,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,1.8464046439999038,0.02212532600015038,1.0533,4851810,128,0.3018910001628683,10,4714,26.298085999769683,32,18.1728,15.676,657506,1.0533,1.0533,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,1.8663531449999482,0.056012935999888214,1.0711,4786245,4544,11.729970999795114,10,4707,19.386359000236553,32,17.9786,14.113,591941,1.0711,1.0711,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,1.8872270920001029,0.052589275999935126,1.0702,4655115,4544,11.828786999785734,9,4236,16.918747999852712,32,17.7798,10.987,460811,1.0702,1.0702,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d2x1.0s,2,1.0,True,True,False,7,1.8576409590000367,0.05148550199987767,1.0686,4655115,4544,11.863522999874476,9,4232,17.210595000278772,32,18.0629,10.987,460811,1.0686,1.0686,2
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.5326501639999606,0.028944155999852228,0.4250,6949890,128,0.3035729998828174,0,0,0.0,,21.8931,65.698,2755586,0.425,0.425,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.5328661119999651,0.027139848999922833,0.4253,6949890,128,0.278879000006782,0,0,0.0,,21.89,65.698,2755586,0.4253,0.4253,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.5197754099999656,0.023065389000066716,0.4201,6949890,128,0.2679459998944367,0,0,0.0,,22.0785,65.698,2755586,0.4201,0.4201,2
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.5436920229999487,0.04968264800004363,0.4306,6949890,4544,11.583593000068504,0,0,0.0,,21.7365,65.698,2755586,0.4306,0.4306,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.5321470000001227,0.047778861000097095,0.4306,6884325,4544,11.80891000012707,0,0,0.0,,21.9003,64.135,2690021,0.4306,0.4306,1
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.5353987640000923,0.05031069099982233,0.4324,6753195,4544,11.611814999923809,0,0,0.0,,21.8539,61.009,2558891,0.4324,0.4324,2
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.2003413920001549,0.02848583799982407,0.4198,4851810,128,0.26967200005856284,10,4717,17.733651000071404,32,27.9541,15.676,657506,0.4198,0.4198,0
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.236471821999885,0.021596725000108563,0.4199,4851810,128,0.3176779998739221,10,4716,16.91132099972492,32,27.1372,15.676,657506,0.4199,0.4199,1
classical-ckpt,x25519-ecdhe,True,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.211943691999977,0.022514358000080392,0.4197,4851810,128,0.30586399998355773,10,4716,17.65186400029961,32,27.6865,15.676,657506,0.4197,0.4197,2
proposed,ml-kem-768,True,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.2251746150000145,0.05397920900009012,0.4349,4851810,4544,11.54399500001091,10,4705,16.701496999985466,32,27.3875,15.676,657506,0.4349,0.4349,0
proposed,ml-kem-768,True,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.2212888930000645,0.052367946000231314,0.4356,4786245,4544,11.661089000199354,10,4705,17.26122699960797,32,27.4746,14.113,591941,0.4356,0.4356,1
proposed,ml-kem-768,True,4194304,65536,64,6g-d4x0.3s,4,0.3,True,True,False,5,1.2259276849999878,0.05050128900006712,0.4335,4655115,4544,11.509623000165448,9,4236,50.304961999700026,32,27.3706,10.987,460811,0.4335,0.4335,2
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,2.1659194659998775,0.02892357699988679,1.0592,6949890,128,0.2988629998981196,0,0,0.0,,15.492,65.698,2755586,1.0592,1.0592,0
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,2.1659832919999644,0.02709410000011303,1.0595,6949890,128,0.29134800001884287,0,0,0.0,,15.4915,65.698,2755586,1.0595,1.0595,1
baseline-tls,x25519-ecdhe,False,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,2.181923276999896,0.029972306999979992,1.0611,6949890,128,0.2842920000603044,0,0,0.0,,15.3784,65.698,2755586,1.0611,1.0611,2
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,2.1746758740000587,0.050522300000011455,1.0655,6884325,4544,11.637798000037947,0,0,0.0,,15.4296,64.135,2690021,1.0655,1.0655,0
pq-nockpt,ml-kem-768,False,4194304,65536,64,6g-d4x1.0s,4,1.0,True,True,False,7,2.1771299160000126,0.04974708300005659,1.0663,6753195,4544,11.812388999942414,0,0,0.0,,15.4122,61.009,2558891,1.0663,1.0663,1
